nodes	id	label	first_name	last_name	affiliation_name	created_at	updated_at	twitter_username	blog_feed_url	blog_url	alias_list	born_month	crunchbase_url	homepage_url	born_day	born_year
20b-cio-asset-manager	665232	person	+$20B	CIO asset manager	Unaffiliated	Sun Feb 02 21:40:38 UTC 2014	Mon Feb 03 02:05:02 UTC 2014						http://www.crunchbase.com/person/20b-cio-asset-manager			
2def-com	665233	person	2def	com	Unaffiliated	Sun Sep 12 10:50:14 UTC 2010	Mon Sep 13 23:52:09 UTC 2010	2defcom	http://2def.com/2010-07-15-09-51-51.feed?type=rss	http://2def.com		4	http://www.crunchbase.com/person/2def-com	http://2def.com	19	1986
2nd-admin	665234	person	2nd	Admin	Unaffiliated	Tue Oct 08 19:23:37 UTC 2013	Tue Oct 08 22:16:16 UTC 2013						http://www.crunchbase.com/person/2nd-admin			
2nd-ceo	665235	person	2nd	CEO	Unaffiliated	Tue Oct 08 19:23:37 UTC 2013	Tue Oct 08 22:16:16 UTC 2013						http://www.crunchbase.com/person/2nd-ceo			
3-g-chemist	665236	person	3	g chemist	Unaffiliated	Sat Jun 29 06:12:01 UTC 2013	Mon Jul 01 19:02:07 UTC 2013						http://www.crunchbase.com/person/3-g-chemist			
3-other-individuals	665237	person	3	Other Individuals	Unaffiliated	Wed Dec 28 17:22:41 UTC 2011	Thu Dec 29 06:18:17 UTC 2011						http://www.crunchbase.com/person/3-other-individuals			
3-others	665238	person	3	Others	Unaffiliated	Fri Jan 06 15:06:23 UTC 2012	Mon Jan 09 22:19:37 UTC 2012						http://www.crunchbase.com/person/3-others			
425-molino-ave-sunnyvale-ca-94086-united-states	665239	person	425	Molino Ave Sunnyvale, CA 94086 United States	Unaffiliated	Mon Nov 04 16:43:43 UTC 2013	Thu Nov 07 23:23:52 UTC 2013						http://www.crunchbase.com/person/425-molino-ave-sunnyvale-ca-94086-united-states			
48hour-print	665240	person	48Hour	Print	Unaffiliated	Fri Apr 13 19:04:27 UTC 2012	Sun Apr 15 01:07:13 UTC 2012	48HourPrint		http://www.48HourPrint.com		5	http://www.crunchbase.com/person/48hour-print	http://www.48HourPrint.com	25	1961
4g-wereld	665241	person	4G	Wereld	Unaffiliated	Fri Mar 29 07:13:09 UTC 2013	Fri Mar 29 07:13:13 UTC 2013						http://www.crunchbase.com/person/4g-wereld			
6-angels	665242	person	6	angels	Unaffiliated	Sat Jul 17 22:43:38 UTC 2010	Mon Jul 19 15:10:33 UTC 2010						http://www.crunchbase.com/person/6-angels			
9dotstrategies-company	665243	person	9Dotstrategies	Company	Unaffiliated	Tue Mar 05 03:32:38 UTC 2013	Wed Apr 10 08:26:06 UTC 2013	9Dot_Strategies	http://www.9dotstrategies.com/feed/	http://www.9dotstrategies.com/blog			http://www.crunchbase.com/person/9dotstrategies-company	http://www.9dotstrategies.com		
a-a	665244	person	a	a	Unaffiliated	Thu Feb 06 13:35:33 UTC 2014	Tue Feb 11 23:16:40 UTC 2014						http://www.crunchbase.com/person/a-a			
a-a-schmitt	665245	person	A.	A. Schmitt	Unaffiliated	Fri Jul 05 12:45:58 UTC 2013	Fri Jul 05 12:45:58 UTC 2013						http://www.crunchbase.com/person/a-a-schmitt			
a-aa	665246	person	a	aa	Unaffiliated	Mon Nov 05 02:16:36 UTC 2012	Tue Nov 06 00:36:40 UTC 2012						http://www.crunchbase.com/person/a-aa			
a-abir	665247	person	A	Abir	Unaffiliated	Tue Feb 19 15:27:56 UTC 2013	Tue Feb 19 22:22:35 UTC 2013	MovingRelo	http://www.movingrelocation.com/feed	http://www.movingrelocation.com/blog			http://www.crunchbase.com/person/a-abir	http://www.movingrelocation.com		
a-b	665248	person	a	b	Unaffiliated	Mon Aug 26 19:25:19 UTC 2013	Mon Aug 26 20:07:24 UTC 2013						http://www.crunchbase.com/person/a-b			
a-b-enterprises	665249	person	A. B.	Enterprises	Unaffiliated	Sat Apr 06 09:08:11 UTC 2013	Mon Apr 08 00:22:33 UTC 2013						http://www.crunchbase.com/person/a-b-enterprises	http://www.abenterpriseindia.com		
