nodes	id	label	name	category_code	crunchbase_url	description	number_of_employees	created_at	updated_at	founded_day	alias_list	deadpooled_month	deadpooled_year	deadpooled_day	deadpooled_url	twitter_username	homepage_url	total_money_raised	blog_url	error	blog_feed_url	founded_month	email_address	founded_year
imoney-group	665856	company																						
keen-systems	665857	company																						
fara	665858	company																						
flydata	665859	company																						
mojio	665860	company																						
runnable	665861	company																						
locbox-labs	665862	company																						
hinge	665863	company																						
maillift	665864	company																						
olset	665865	company																						
carousell	665866	company																						
hangtime	665867	company																						
hall-com	665868	company																						
goods-platform	665869	company																						
builk	665870	company																						
intuitive-motion	665871	company																						
platejoy	665872	company																						
splendid-labs	665873	company																						
launchtrack	665874	company																						
weplann	665875	company																						
cityblis	665876	company																						
viralgains	665877	company																						
ubiome	665878	company																						
3sourcing	665879	company																						
silverpush	665880	company																						
partender	665881	company																						
sidelines	665882	company																						
colingo	665883	company																						
symphony	665884	company																						
gastke	665885	company																						
view-the-space	665886	company																						
adespresso	665887	company																						
volta-industries	665888	company																						
markerly	665889	company																						
primeloop	665890	company																						
quest-app	665891	company																						
sightly	665892	company																						
safe-shepherd	665893	company																						
famebit	665894	company																						
crowdfunder	665895	company																						
quest	665896	company																						
wedgies	665897	company																						
searchman-seo	665898	company																						
brandboards	665899	company																						
chirpme	665900	company																						
tailored	665901	company																						
playbasis	665902	company																						
rota-dos-concursos	665903	company																						
scaffold	665904	company																						
tiny-review	665905	company																						
donorsplay	665906	company																						
tinfoil-security	665907	company																						
punchd	665908	company																						
bugherd	665909	company																						
zipmatch	665910	company																						
javelin	665911	company																						
vontrip	665912	company																						
sverve	665913	company																						
credit-karma	665914	company																						
creativemarket	665915	company																						
lexspot	665916	company																						
dropmysite	665917	company																						
divshot	665918	company																						
trdata	665919	company																						
fastcustomer	665664	company																						
appstores-com	665665	company																						
rentlord	665666	company																						
fastcall411	665667	company																						
higear	665668	company																						
farmeron	665669	company																						
curebit	665670	company																						
ownlocal	665671	company																						
visual-ly	665672	company																						
aksel-paris	665673	company																						
launchrock	665674	company																						
shareaholic	665675	company																						
unbounce	665676	company																						
life360	665677	company																						
mygola	665678	company																						
gizmo	665679	company																						
triggerio	665680	company																						
oneschool	665681	company																						
highscore-house	665682	company																						
manpacks	665683	company																						
lumatic	665684	company																						
vivareal	665685	company																						
mopix	665686	company																						
ordr-in	665687	company																						
triptrotting	665688	company																						
styleseat	665689	company																						
welcu	665690	company																						
appstack	665691	company																						
sendhub	665692	company																						
vungle	665693	company																						
netplenish	665694	company																						
senzari	665695	company																						
bombfell	665696	company																						
plangrid	665697	company																						
flightfox	665698	company																						
postrocket	665699	company																						
kiwi-crate	665700	company																						
mom-trusted	665701	company																						
switchcam	665702	company																						
keen	665703	company																						
mile-high-organics	665704	company																						
teliportme	665705	company																						
love-with-food	665706	company																						
open-air-publishing	665707	company																						
cloudability	665708	company																						
stacksocial	665709	company																						
tip-or-skip	665710	company																						
toutapp	665711	company																						
tokyo-otaku-mode	665712	company																						
mediaspike	665713	company																						
fitocracy	665714	company																						
peatix	665715	company																						
scriptrock-inc	665716	company																						
reclip-it	665717	company																						
myhealthteams	665718	company																						
fontacto	665719	company																						
zerply	665720	company																						
espark	665721	company																						
chalkable	665722	company																						
brightnest	665723	company																						
babelverse	665724	company																						
mural-ly	665725	company																						
ridepal	665726	company																						
republic-project	665727	company																						
ubooly	665728	company																						
airpr	665729	company																						
pixowl	665730	company																						
refer-ly	665731	company																						
lettuce	665732	company																						
compstak	665733	company																						
ad-hoc-labs	665734	company																						
tradesy	665735	company																						
moveline	665736	company																						
locbox	665737	company																						
cubie	665738	company																						
247-techies	665739	company																						
instamojo	665740	company																						
bespoke-post	665741	company																						
amicus	665742	company																						
tendertree	665743	company																						
chromatik	665744	company																						
tapas-media	665745	company																						
binu	665746	company																						
everbill	665747	company																						
ziippi	665748	company																						
red-tricycle	665749	company																						
cinemacraft	665750	company																						
truelens	665751	company																						
onespot	665752	company																						
clarity-2	665753	company																						
spothero	665754	company																						
speek	665755	company																						
descomplica	665756	company																						
zipdial	665757	company																						
15five	665758	company																						
luxr	665759	company																						
ruiyi	665952	company																						
xelerated	665953	company																						
accumulate	665954	company																						
ludesi	665955	company																						
the-local	665956	company																						
activiews	665957	company																						
belly	665958	company																						
universal-record-database	665959	company																						
submishmash	665960	company																						
socore-energy	665961	company																						
digedu	665962	company																						
wisertogether	665963	company																						
tout	665964	company																						
shoppad	665965	company																						
index	665966	company																						
proterra	665967	company																						
easy2map	665968	company																						
peach-payments	665969	company																						
touristlink	665970	company																						
collabspot	665971	company																						
e27	665972	company																						
hipflat	665973	company																						
amen	665974	company																						
tinychat	665975	company																						
couple	665976	company																						
fab-com	665977	company																						
sonic-notify	665978	company																						
getaround	665979	company																						
smartthings	665980	company																						
the-hunt	665981	company																						
fashism	665982	company																						
socialcam	665983	company																						
yplan	665984	company																						
invi	665985	company																						
citymaps	665986	company																						
interaxon	665987	company																						
panorama-education	665988	company																						
bloomthat	665989	company																						
zooz	665990	company																						
invictus-marketing	665991	company																						
work-for-pie	665992	company																						
ernie	665993	company																						
wannado	665994	company																						
le-lutin-rouge-com	665995	company																						
oxatis	665996	company																						
ercom	665997	company																						
radio-systemes-ingenierie	665998	company																						
systancia	665999	company																						
spineguard	666000	company																						
spartoo	666001	company																						
neteven	666002	company																						
infinancials	666003	company																						
novalys	666004	company																						
prylos	666005	company																						
hydrelis	666006	company																						
watt-company	666007	company																						
geolid	666008	company																						
anatole	666009	company																						
ividence	666010	company																						
ateme	666011	company																						
weezevent	666012	company																						
alephd	666013	company																						
verylastroom	666014	company																						
premonix	666015	company																						
i-just-shared	666016	company																						
hiogi	666017	company																						
right-relevance	666018	company																						
tesla-motors	666019	company																						
irex-technologies	666020	company																						
nexwave-solutions	666021	company																						
exie	666022	company																						
pieris-proteolab	666023	company																						
invictus-oncology	666024	company																						
tabtor	666025	company																						
theramyt-novobiologics	666026	company																						
milk-mantra	666027	company																						
electronic-payment-and-services	666028	company																						
mela-artisans	666029	company																						
nanofactory-instruments	666030	company																						
naonext	666031	company																						
chelsio-communications	666032	company																						
activaero	666033	company																						
creabilis	666034	company																						
neurogenetic-pharmaceuticals	666035	company																						
aurasense-therapeutics	666036	company																						
ticketforevent	666037	company																						
pixelligent	666038	company																						
givecorps	666039	company																						
clovis-oncology	666040	company																						
anacor-pharmaceutical	666041	company																						
aviir	666042	company																						
paracor-medical	666043	company																						
posit-science	666044	company																						
sequoia-pharmaceuticals	666045	company																						
kai-pharmaceuticals	666046	company																						
hemaquest	666047	company																						
mpex-pharmaceuticals	666048	company																						
conatus-pharmaceuticals	666049	company																						
nxthera	666050	company																						
nevro	666051	company																						
rock-health	666052	company																						
omada-health	666053	company																						
mc10	666054	company																						
jiff	666055	company																						
rxante	666056	company																						
wello	666057	company																						
gobalto	666058	company																						
cervel-neurotech	666059	company																						
advance-medical	666060	company																						
sonitus-technologies	666061	company																						
gravie	666062	company																						
oled-t	666063	company																						
broncus-technologies-inc	666064	company																						
chroma-therapeutics	666065	company																						
intellikine	666066	company																						
zogenix	666067	company																						
primeradx	666068	company																						
oxagen	666069	company																						
syntaxin	666070	company																						
adiana	666071	company																						
is-pharma	666072	company																						
pathwork-diagnostics	666073	company																						
md-on-line	666074	company																						
valeritas	666075	company																						
prosensa	666076	company																						
sonitus-medical	666077	company																						
chiasma	666078	company																						
labcyte	666079	company																						
avillion	666080	company																						
gynesonics	666081	company																						
gensight-biologics	666082	company																						
effector-therapeutics	666083	company																						
dicerna-pharmaceuticals	666084	company																						
personalis	666085	company																						
pixium-vision	666086	company																						
biovex	666087	company																						
gt-nexus	666088	company																						
cytheris	666089	company																						
flowmedica	666090	company																						
rainbow-hospitals	666091	company																						
rock-content	666092	company																						
tarpon-towers	666093	company																						
o4	666094	company																						
invision	666095	company																						
inttra	666096	company																						
metastorm	666097	company																						
ignite-media-solutions	666098	company																						
teachscape	666099	company																						
efashion-solutions	666100	company																						
courseadvisor	666101	company																						
mobileaware	666102	company																						
sourcemedical	666103	company																						
zoom-media-marketing	666104	company																						
whenu-com	666105	company																						
foliodynamix	666106	company																						
syncapse	666107	company																						
redzone-robotics	666108	company																						
techmedianetwork	666109	company																						
athletes-performance	666110	company																						
alloy-digital	666111	company																						
aldera	666112	company																						
izotope	666113	company																						
activenetwork	666114	company																						
vibrantmedia	666115	company																						
hanger-network-in-home-media	666116	company																						
applied-identity	666117	company																						
scalemp	666118	company																						
islanddatacorporation	666119	company																						
melinta	666120	company																						
persystent-technology	666121	company																						
paratek	666122	company																						
wimba	666123	company																						
certona	666124	company																						
clicksquared	666125	company																						
highroads	666126	company																						
cognio	666127	company																						
objectvideo	666128	company																						
trema-group	666129	company																						
zilliant	666130	company																						
centric-software	666131	company																						
cognitive-security	666132	company																						
beepl	666133	company																						
drizly	666134	company																						
regimmune-corporation	666135	company																						
skinkers	666136	company																						
solarflare	666137	company																						
mirics-semiconductor	666138	company																						
meetmoi	666139	company																						
phanfare	666140	company																						
monitor110	666141	company																						
mzinga	666142	company																						
xtify	666143	company																						
cartasite	666144	company																						
raindance-technologies	666145	company																						
bluefin-labs	666146	company																						
cardiodx	666147	company																						
quisk-inc	666148	company																						
house-party	666149	company																						
levant-power	666150	company																						
wispry	666151	company																						
localresponse	666152	company																						
omicia	666153	company																						
klipfolio	666154	company																						
integrien	666155	company																						
vantos	666156	company																						
librato	666157	company																						
sensory-networks	666158	company																						
g2-microsystems	666159	company																						
engana-pty	666160	company																						
vinculum-solutions	666161	company																						
myntra	666162	company																						
perfint-healthcare	666163	company																						
stearclear	666164	company																						
gummii	666165	company																						
openbook	666166	company																						
loginradius	666167	company																						
claros-diagnostics	666168	company																						
intellirod-spine	666169	company																						
oncofactor-corporation	666170	company																						
nanostring-technologies	666171	company																						
alung-technologies	666172	company																						
rateitall	666173	company																						
voxpop	666174	company																						
oyster-hotel-reviews	666175	company																						
eko	665920	company																						
smule	665921	company																						
bidaway-com	665922	company																						
jugo	665923	company																						
relypsa	665924	company																						
synosia-therapeutics	665925	company																						
anaphore	665926	company																						
kalobios-pharmaceuticals	665927	company																						
semprus-biosciences	665928	company																						
s-bio	665929	company																						
ambrx	665930	company																						
pearl-therapeutics	665931	company																						
rennovia	665932	company																						
flexion-therapeutics	665933	company																						
pulmatrix	665934	company																						
phaserx	665935	company																						
marcadia-biotech	665936	company																						
achaogen	665937	company																						
igenica	665938	company																						
incline-therapeutics	665939	company																						
dvs-sciences	665940	company																						
cleave-biosciences	665941	company																						
atterocor	665942	company																						
novira-therapeutics	665943	company																						
ceterix-orthopaedics	665944	company																						
audentes-therapeutics	665945	company																						
arvinas	665946	company																						
biodesy	665947	company																						
epirus-biopharmaceuticals	665948	company																						
kinestral-technologies	665949	company																						
viveve	665950	company																						
scpharmaceuticals	665951	company																						
isocket	666176	company																						
rixty	666177	company																						
smartling	666178	company																						
marketfish	666179	company																						
carwoo	666180	company																						
doubledutch	666181	company																						
datapop	666182	company																						
fundly	666183	company																						
gigwalk	666184	company																						
artspace	666185	company																						
roqbot	666186	company																						
well-app	666187	company																						
playnomics	666188	company																						
sproutling	666189	company																						
quickpay	666190	company																						
appboy	666191	company																						
cartiheal	666192	company																						
nlt-spine	666193	company																						
unwired-nation	666194	company																						
epv-solar	666195	company																						
novel-therapeutic-technologies	666196	company																						
mnemosyne-pharmaceuticals	666197	company																						
vedantra-pharmaceuticals	666198	company																						
tango	666199	company																						
nobel-hygiene	666200	company																						
quickoffice	666201	company																						
acision	666202	company																						
westwing	666203	company																						
deezer	666204	company																						
beats-by-dr-dre	666205	company																						
lamoda	666206	company																						
zalora	666207	company																						
lazada-group	666208	company																						
wicastr-limited	666209	company																						
appcore	666210	company																						
pixspree	666211	company																						
tinker-square	666212	company																						
dynagent-software-sl	666213	company																						
political-buddies	666214	company																						
professional-crew	666215	company																						
medop-services	666216	company																						
solarcoin	666217	company																						
